Range(m) 532nmResult 355nmResult
1451.2500 1.0000 1.0000
1455.0000 1.0000 1.0000
1458.7500 1.0000 1.0000
1462.5000 1.0000 1.0000
1466.2500 1.0000 1.0000
1470.0000 1.0000 1.0000
1473.7500 1.0000 1.0000
1477.5000 1.0000 1.0000
1481.2500 1.0000 1.0000
1485.0000 1.0000 1.0000
1488.7500 1.0000 1.0000
1492.5000 1.0000 1.0000
1496.2500 1.0000 1.0000
1500.0000 1.0000 1.0000
1503.7500 1.0000 1.0000
1507.5000 1.0000 1.0000
1511.2500 1.0000 1.0000
1515.0000 1.0000 1.0000
1518.7500 1.0000 1.0000
1522.5000 1.0000 1.0000
1526.2500 1.0000 1.0000
1530.0000 1.0000 1.0000
1533.7500 1.0000 1.0000
1537.5000 1.0000 1.0000
1541.2500 1.0000 1.0000
1545.0000 1.0000 1.0000
1548.7500 1.0000 1.0000
1552.5000 1.0000 1.0000
1556.2500 1.0000 1.0000
1560.0000 1.0000 1.0000
1563.7500 1.0000 1.0000
1567.5000 1.0000 1.0000
1571.2500 1.0000 1.0000
1575.0000 1.0000 1.0000
1578.7500 1.0000 1.0000
1582.5000 1.0000 1.0000
1586.2500 1.0000 1.0000
1590.0000 1.0000 1.0000
1593.7500 1.0000 1.0000
1597.5000 1.0000 1.0000
1601.2500 1.0000 1.0000
1605.0000 1.0000 1.0000
1608.7500 1.0000 1.0000
1612.5000 1.0000 1.0000
1616.2500 1.0000 1.0000
1620.0000 1.0000 1.0000
1623.7500 1.0000 1.0000
1627.5000 1.0000 1.0000
1631.2500 1.0000 1.0000
1635.0000 1.0000 1.0000
1638.7500 1.0000 1.0000
1642.5000 1.0000 1.0000
1646.2500 1.0000 1.0000
1650.0000 1.0000 1.0000
1653.7500 1.0000 1.0000
1657.5000 1.0000 1.0000
1661.2500 1.0000 1.0000
1665.0000 1.0000 1.0000
1668.7500 1.0000 1.0000
1672.5000 1.0000 1.0000
1676.2500 1.0000 1.0000
1680.0000 1.0000 1.0000
1683.7500 1.0000 1.0000
1687.5000 1.0000 1.0000
1691.2500 1.0000 1.0000
1695.0000 1.0000 1.0000
1698.7500 1.0000 1.0000
1702.5000 1.0000 1.0000
1706.2500 1.0000 1.0000
1710.0000 1.0000 1.0000
1713.7500 1.0000 1.0000
1717.5000 1.0000 1.0000
1721.2500 1.0000 1.0000
1725.0000 1.0000 1.0000
1728.7500 1.0000 1.0000
1732.5000 1.0000 1.0000
1736.2500 1.0000 1.0000
1740.0000 1.0000 1.0000
1743.7500 1.0000 1.0000
1747.5000 1.0000 1.0000
1751.2500 1.0000 1.0000
1755.0000 1.0000 1.0000
1758.7500 1.0000 1.0000
1762.5000 1.0000 1.0000
1766.2500 1.0000 1.0000
1770.0000 1.0000 1.0000
1773.7500 1.0000 1.0000
1777.5000 1.0000 1.0000
1781.2500 1.0000 1.0000
1785.0000 1.0000 1.0000
1788.7500 1.0000 1.0000
1792.5000 1.0000 1.0000
1796.2500 1.0000 1.0000
1800.0000 1.0000 1.0000
1803.7500 1.0000 1.0000
1807.5000 1.0000 1.0000
1811.2500 1.0000 1.0000
1815.0000 1.0000 1.0000
1818.7500 1.0000 1.0000
1822.5000 1.0000 1.0000
1826.2500 1.0000 1.0000
1830.0000 1.0000 1.0000
1833.7500 1.0000 1.0000
1837.5000 1.0000 1.0000
1841.2500 1.0000 1.0000
1845.0000 1.0000 1.0000
1848.7500 1.0000 1.0000
1852.5000 1.0000 1.0000
1856.2500 1.0000 1.0000
1860.0000 1.0000 1.0000
1863.7500 1.0000 1.0000
1867.5000 1.0000 1.0000
1871.2500 1.0000 1.0000
1875.0000 1.0000 1.0000
1878.7500 1.0000 1.0000
1882.5000 1.0000 1.0000
1886.2500 1.0000 1.0000
1890.0000 1.0000 1.0000
1893.7500 1.0000 1.0000
1897.5000 1.0000 1.0000
1901.2500 1.0000 1.0000
1905.0000 1.0000 1.0000
1908.7500 1.0000 1.0000
1912.5000 1.0000 1.0000
1916.2500 1.0000 1.0000
1920.0000 1.0000 1.0000
1923.7500 1.0000 1.0000
1927.5000 1.0000 1.0000
1931.2500 1.0000 1.0000
1935.0000 1.0000 1.0000
1938.7500 1.0000 1.0000
1942.5000 1.0000 1.0000
1946.2500 1.0000 1.0000
1950.0000 1.0000 1.0000
1953.7500 1.0000 1.0000
1957.5000 1.0000 1.0000
1961.2500 1.0000 1.0000
1965.0000 1.0000 1.0000
1968.7500 1.0000 1.0000
1972.5000 1.0000 1.0000
1976.2500 1.0000 1.0000
1980.0000 1.0000 1.0000
1983.7500 1.0000 1.0000
1987.5000 1.0000 1.0000
1991.2500 1.0000 1.0000
1995.0000 1.0000 1.0000
1998.7500 1.0000 1.0000
2002.5000 1.0000 1.0000
2006.2500 1.0000 1.0000
2010.0000 1.0000 1.0000
2013.7500 1.0000 1.0000
2017.5000 1.0000 1.0000
2021.2500 1.0000 1.0000
2025.0000 1.0000 1.0000
2028.7500 1.0000 1.0000
2032.5000 1.0000 1.0000
2036.2500 1.0000 1.0000
2040.0000 1.0000 1.0000
2043.7500 1.0000 1.0000
2047.5000 1.0000 1.0000
2051.2500 1.0000 1.0000
2055.0000 1.0000 1.0000
2058.7500 1.0000 1.0000
2062.5000 1.0000 1.0000
2066.2500 1.0000 1.0000
2070.0000 1.0000 1.0000
2073.7500 1.0000 1.0000
2077.5000 1.0000 1.0000
2081.2500 1.0000 1.0000
2085.0000 1.0000 1.0000
2088.7500 1.0000 1.0000
2092.5000 1.0000 1.0000
2096.2500 1.0000 1.0000
2100.0000 1.0000 1.0000
2103.7500 1.0000 1.0000
2107.5000 1.0000 1.0000
2111.2500 1.0000 1.0000
2115.0000 1.0000 1.0000
2118.7500 1.0000 1.0000
2122.5000 1.0000 1.0000
2126.2500 1.0000 1.0000
2130.0000 1.0000 1.0000
2133.7500 1.0000 1.0000
2137.5000 1.0000 1.0000
2141.2500 1.0000 1.0000
2145.0000 1.0000 1.0000
2148.7500 1.0000 1.0000
2152.5000 1.0000 1.0000
2156.2500 1.0000 1.0000
2160.0000 1.0000 1.0000
2163.7500 1.0000 1.0000
2167.5000 1.0000 1.0000
2171.2500 1.0000 1.0000
2175.0000 1.0000 1.0000
2178.7500 1.0000 1.0000
2182.5000 1.0000 1.0000
2186.2500 1.0000 1.0000
2190.0000 1.0000 1.0000
2193.7500 1.0000 1.0000
2197.5000 1.0000 1.0000
2201.2500 1.0000 1.0000
2205.0000 1.0000 1.0000
2208.7500 1.0000 1.0000
2212.5000 1.0000 1.0000
2216.2500 1.0000 1.0000
2220.0000 1.0000 1.0000
2223.7500 1.0000 1.0000
2227.5000 1.0000 1.0000
2231.2500 1.0000 1.0000
2235.0000 1.0000 1.0000
2238.7500 1.0000 1.0000
2242.5000 1.0000 1.0000
2246.2500 1.0000 1.0000
2250.0000 1.0000 1.0000
2253.7500 1.0000 1.0000
2257.5000 1.0000 1.0000
2261.2500 1.0000 1.0000
2265.0000 1.0000 1.0000
2268.7500 1.0000 1.0000
2272.5000 1.0000 1.0000
2276.2500 1.0000 1.0000
2280.0000 1.0000 1.0000
2283.7500 1.0000 1.0000
2287.5000 1.0000 1.0000
2291.2500 1.0000 1.0000
2295.0000 1.0000 1.0000
2298.7500 1.0000 1.0000
2302.5000 1.0000 1.0000
2306.2500 1.0000 1.0000
2310.0000 1.0000 1.0000
2313.7500 1.0000 1.0000
2317.5000 1.0000 1.0000
2321.2500 1.0000 1.0000
2325.0000 1.0000 1.0000
2328.7500 1.0000 1.0000
2332.5000 1.0000 1.0000
2336.2500 1.0000 1.0000
2340.0000 1.0000 1.0000
2343.7500 1.0000 1.0000
2347.5000 1.0000 1.0000
2351.2500 1.0000 1.0000
2355.0000 1.0000 1.0000
2358.7500 1.0000 1.0000
2362.5000 1.0000 1.0000
2366.2500 1.0000 1.0000
2370.0000 1.0000 1.0000
2373.7500 1.0000 1.0000
2377.5000 1.0000 1.0000
2381.2500 1.0000 1.0000
2385.0000 1.0000 1.0000
2388.7500 1.0000 1.0000
2392.5000 1.0000 1.0000
2396.2500 1.0000 1.0000
2400.0000 1.0000 1.0000
2403.7500 1.0000 1.0000
2407.5000 1.0000 1.0000
2411.2500 1.0000 1.0000
2415.0000 1.0000 1.0000
2418.7500 1.0000 1.0000
2422.5000 1.0000 1.0000
2426.2500 1.0000 1.0000
2430.0000 1.0000 1.0000
2433.7500 1.0000 1.0000
2437.5000 1.0000 1.0000
2441.2500 1.0000 1.0000
2445.0000 1.0000 1.0000
2448.7500 1.0000 1.0000
2452.5000 1.0000 1.0000
2456.2500 1.0000 1.0000
2460.0000 1.0000 1.0000
2463.7500 1.0000 1.0000
2467.5000 1.0000 1.0000
2471.2500 1.0000 1.0000
2475.0000 1.0000 1.0000
2478.7500 1.0000 1.0000
2482.5000 1.0000 1.0000
2486.2500 1.0000 1.0000
